prvdr_num,prvdr_name,prvdr_address,city,state,prov_region,zip,CBSA_CD,MSA_CD,ownership,urban_rural,teaching,UCN,beds_grp,org_npi_num,IDN,IDN_parent,Covid_payment
30121,"MOUNTAIN VISTA MEDICAL CENTER, LP",1301 SOUTH CRISMON ROAD,MESA,AZ,WEST,85209,38060,38060,PRIVATE (FOR PROFIT),URBAN,YES,1006135,100-199,1235212721,IASIS Healthcare,NA,0
30122,BANNER GATEWAY MEDICAL CENTER,1900 NORTH HIGLEY ROAD,GILBERT,AZ,WEST,85234,38060,38060,OTHER (SPECIFY),URBAN,NO,1077018,100-199,1699884858,Banner Health,Banner Health,0
30123,HONORHEALTH SCOTTSDALE THOMPSON PEAK MED CTR,7400 EAST THOMPSON PEAK PARKWAY,SCOTTSDALE,AZ,WEST,85255,38060,38060,PRIVATE (FOR PROFIT),URBAN,YES,1076982,100-199,1417152745,HonorHealth Scottsdale Healthcare,HonorHealth (FKA: Scottsdale Lincoln Health Network),0
30124,TRILLIUM SPECIALTY HOSPITAL - EAST VALLEY,215 SOUTH POWER ROAD,MESA,AZ,WEST,85206,38060,38060,PRIVATE (FOR PROFIT),URBAN,NO,NA,100-199,NA,NA,NA,0
30125,TRILLIUM SPECIALTY HOSPITAL-WEST VALLEY,13818 NORTH THUNDERBIRD BLVD,SUN CITY,AZ,WEST,85351,38060,38060,PRIVATE (FOR PROFIT),URBAN,NO,NA,100-199,NA,NA,NA,0
30126,ARIZONA REGIONAL MEDICAL CENTER,515 NORTH MESA DRIVE,MESA,AZ,WEST,85201,38060,38060,PRIVATE (FOR PROFIT),URBAN,NO,NA,000-099,NA,NA,NA,0
30127,WESTERN REGIONAL MEDICAL CENTER CANCER HOSPITAL,14200 WEST FILLMORE STREET,GOODYEAR,AZ,WEST,85395,38060,38060,PRIVATE (FOR PROFIT),URBAN,NO,NA,000-099,NA,NA,NA,0
30128,HUALAPAI MOUNTAIN MEDICAL CENTER,3801 SANTA ROSA DRIVE,KINGMAN,AZ,WEST,86401,29420,29420,PRIVATE (FOR PROFIT),URBAN,NO,NA,000-099,NA,NA,NA,0
30129,FLORENCE COMMUNITY HEALTHCARE,450 WEST ADAMSVILLE ROAD,FLORENCE,AZ,WEST,85132,38060,38060,PRIVATE (FOR PROFIT),URBAN,NO,NA,000-099,NA,NA,NA,0
30130,BANNER IRONWOOD MEDICAL CENTER,37000 NORTH GANTZEL ROAD,QUEEN CREEK,AZ,WEST,85140,38060,38060,PRIVATE (NOT FOR PROFIT),URBAN,NO,1131340,000-099,1124341672,Banner Health,Banner Health,0
30131,O.A.S.I.S. HOSPITAL,750 NORTH 40TH STREET,PHOENIX,AZ,WEST,85008,38060,38060,PRIVATE (NOT FOR PROFIT),URBAN,NO,1168808,000-099,1275847105,Dignity Health (FKA: Catholic Healthcare West),Dignity Health (FKA: Catholic Healthcare West),0
30132,"FLORENCE HOSPITAL AT ANTHEM, LLC",4545 NORTH HUNT HIGHWAY,FLORENCE,AZ,WEST,85132,38060,38060,PRIVATE (FOR PROFIT),URBAN,NO,1177863,000-099,1487930301,New Vision Health LLC,NA,0
30133,GLOBALREHAB AT SCOTTSDALE HEALTHCARE,8850 EAST PIMA CENTER PARKWAY,SCOTTSDALE,AZ,WEST,85258,38060,38060,PRIVATE (FOR PROFIT),URBAN,NO,NA,000-099,NA,NA,NA,0
30134,BANNER GOLDFIELD MEDICAL CENTER,2050 WEST SOUTHERN AVENUE,APACHE JUNCTION,AZ,WEST,85120,38060,38060,OTHER (SPECIFY),URBAN,NO,1149423,000-099,1932543428,Banner Health,Banner Health,0
30135,FREEDOM PAIN HOSPITAL,17500 NORTH PERIMETER DRIVE,SCOTTSDALE,AZ,WEST,85255,38060,38060,PRIVATE (FOR PROFIT),URBAN,NO,1199724,000-099,NA,NA,NA,0
30136,DIGNITY HEALTH - ARIZONA GENERAL HOSPITAL,7171 SOUTH 51ST AVENUE,LAVEEN,AZ,WEST,85339,38060,38060,PRIVATE (FOR PROFIT),URBAN,NO,1320082,000-099,1154748416,Dignity Health (FKA: Catholic Healthcare West),Dignity Health (FKA: Catholic Healthcare West),0
30137,SANTA CRUZ VALLEY REGIONAL HOSPITAL,4455 SOUTH I-19 FRONTAGE ROAD,GREEN VALLEY,AZ,WEST,85614,46060,46060,PRIVATE (FOR PROFIT),URBAN,NO,1343825,000-099,1396205886,NA,NA,0
30138,WESTERN REGIONAL MEDICAL CENTER,14200 WEST CELEBRATE LIFE WAY,GOODYEAR,AZ,WEST,85338,38060,38060,PRIVATE (FOR PROFIT),URBAN,NO,NA,000-099,1508029422,NA,NA,0
30139,DIGNITY HEALTH ARIZONA GENERAL HOSPITAL,9130 EAST ELLIOT ROAD,MESA,AZ,WEST,85212,38060,38060,PRIVATE (NOT FOR PROFIT),URBAN,NO,NA,000-099,1689121188,NA,NA,0
30140,SKI AMBULATORY SURGICAL CENTER LLC,"110 EAST UNIVERSITY DRIVE, SUITE 102",TEMPE,AZ,WEST,85281,38060,38060,PRIVATE (FOR PROFIT),URBAN,NO,NA,000-099,1275077414,NA,NA,0
30141,"SKI AMBUATORY SURGICAL CENTERS, LLC","325 SOUTH EUCLID AVENUE, SUITE 109",TUCSON,AZ,WEST,85719,46060,46060,PRIVATE (FOR PROFIT),URBAN,NO,NA,000-099,1174067318,NA,NA,0
30142,"SKI AMBULATORY SURGICAL CENTERS, LLC","7362 WEST THUNDERBIRD ROAD, SUITE 103",PEORIA,AZ,WEST,85381,38060,38060,PRIVATE (FOR PROFIT),URBAN,NO,NA,000-099,1023567260,NA,NA,0
30143,HEART HEALTH CENTER LLC,"1848 EAST THOMAS ROAD, SUITE #200",PHOENIX,AZ,WEST,85016,38060,38060,PRIVATE (FOR PROFIT),URBAN,NO,NA,000-099,1609223056,NA,NA,0
30144,"EYE CLINIC, THE","401 CALVARY WAY, SUITE D",COTTONWOOD,AZ,WEST,86326,39140,39140,PRIVATE (NOT FOR PROFIT),URBAN,NO,NA,000-099,1609039056,NA,NA,0
30145,FOREST CANYON ENDOSCOPY & SURGERY CENTER PC,560 NORTH SWITZER CANYON DRIVE,FLAGSTAFF,AZ,WEST,86001,22380,22380,PRIVATE (FOR PROFIT),URBAN,NO,NA,000-099,1679566582,NA,NA,0
30146,HONORHEALTH SONORAN CROSSING MEDICAL CENTER,33400 NORTH 32ND AVENUE,PHOENIX,AZ,WEST,85085,38060,38060,PRIVATE (NOT FOR PROFIT),URBAN,NO,NA,000-099,1265063010,NA,NA,0
30147,BANNER OCOTILLO MEDICAL CENTER,1405 SOUTH ALMA SCHOOL ROAD,CHANDLER,AZ,WEST,85286,38060,38060,PRIVATE (NOT FOR PROFIT),URBAN,NO,NA,000-099,1972139004,NA,NA,0
30148,NORTHWEST MEDICAL CENTER SAHUARITA,16260 SOUTH RANCHO SAHUARITA BOULEVARD,SAHUARITA,AZ,WEST,85629,46060,46060,PRIVATE (NOT FOR PROFIT),URBAN,NO,NA,000-099,NA,NA,NA,0
30149,"HEART AND VASCULAR SURGICAL CENTER, LLC","4860 E BASLINE RD,Â STE 102",MESA,AZ,WEST,85206,38060,38060,PRIVATE (FOR PROFIT),URBAN,NO,NA,000-099,NA,NA,NA,0
40001,SILOAM SPRINGS REGIONAL HOSPITAL,603 NORTH PROGRESS AVENUE,SILOAM SPRINGS,AR,SOUTH,72761,22220,22220,OTHER (SPECIFY),URBAN,NO,6660,000-099,1902051816,Northwest Health System,Community Health Systems (CHS),0
40002,JOHNSON REGIONAL MEDICAL CENTER,1100 EAST POPLAR STREET,CLARKSVILLE,AR,SOUTH,72830,99904,4,LOCAL,RURAL,NO,10732,000-099,1134116049,NA,NA,0
40003,ST ANTHONYS HEALTHCARE CENTER,4 HOSPITAL DRIVE,MORRILTON,AR,SOUTH,72110,99904,4,CHURCH,RURAL,NO,NA,000-099,NA,NA,NA,0
40004,WASHINGTON REGIONAL MEDICAL CENTER,3215 N NORTH HILLS BOULEVARD,FAYETTEVILLE,AR,SOUTH,72703,22220,22220,PRIVATE (NOT FOR PROFIT),URBAN,YES,5490,400-499,1083609150,NA,NA,0
40005,EUREKA SPRINGS HOSPITAL,24 NORRIS STREET,EUREKA SPRINGS,AR,SOUTH,72632,99904,4,PRIVATE (NOT FOR PROFIT),RURAL,NO,NA,000-099,NA,NA,NA,0
40006,"CENTRAL OZARKS MEDICAL CENTER, INC",HIGHWAY 14 NORTH P O DRAWER 219,YELLVILLE,AR,SOUTH,72687,99904,4,LOCAL,RURAL,NO,NA,000-099,NA,NA,NA,0
40007,CHI-ST VINCENT INFIRMARY,TWO ST VINCENT CIRCLE,LITTLE ROCK,AR,SOUTH,72205,30780,30780,PRIVATE (NOT FOR PROFIT),URBAN,NO,4176,500+,1780684431,CHI St Vincent (St Vincent Health System),Catholic Health Initiatives (CHI),0
40008,LAWRENCE MEMORIAL HOSPITAL,1309 WEST MAIN POST OFFICE BOX 839,WALNUT RIDGE,AR,SOUTH,72476,99904,4,LOCAL,RURAL,NO,NA,000-099,NA,NA,NA,0
40009,DELTA MEDICAL CENTER,505 S NEW YORK,BRINKLEY,AR,SOUTH,72021,99904,4,PRIVATE (NOT FOR PROFIT),RURAL,NO,NA,000-099,NA,NA,NA,0
40010,MERCY HOSPITAL NORTHWEST ARKANSAS,2710 SOUTH RIFE MEDICAL LANE,ROGERS,AR,SOUTH,72758,22220,22220,CHURCH,URBAN,YES,3634,200-299,1316902414,Mercy (MO),Mercy (MO),0
40011,CHAMBERS MEMORIAL HOSPITAL,719 DETROIT STREET,DANVILLE,AR,SOUTH,72833,99904,4,PRIVATE (NOT FOR PROFIT),RURAL,NO,6662,000-099,1902842255,NA,NA,0
40013,FAYETTEVILLE CITY HOSPITAL,221 SOUTH SCHOOL,FAYETTEVILLE,AR,SOUTH,72703,22220,22220,PRIVATE (NOT FOR PROFIT),URBAN,YES,NA,000-099,NA,NA,NA,0
40014,UNITY HEALTH WHITE COUNTY MEDICAL CENTER,3214 EAST RACE AVENUE,SEARCY,AR,SOUTH,72143,99904,4,PRIVATE (NOT FOR PROFIT),RURAL,YES,6654,500+,1568406536,Unity Health,NA,0
40015,MENA REGIONAL HEALTH SYSTEM,311 NORTH MORROW STREET,MENA,AR,SOUTH,71953,99904,4,LOCAL,RURAL,NO,12645,000-099,1861449639,LHC Group,LHC Group,0
40016,UAMS MEDICAL CENTER,4301 WEST MARKHAM STREET MAIL SLOT 612,LITTLE ROCK,AR,SOUTH,72205,30780,30780,STATE,URBAN,YES,48311,400-499,1477549756,NA,NA,0
40017,NORTH ARKANSAS REGIONAL MEDICAL CENTER,620 NORTH MAIN STREET,HARRISON,AR,SOUTH,72601,99904,4,PRIVATE (NOT FOR PROFIT),RURAL,NO,5489,100-199,1275523912,NA,NA,0
40018,BAPTIST HEALTH - VAN BUREN,211 CRAWFORD MEMORIAL DRIVE,VAN BUREN,AR,SOUTH,72956,22900,22900,PRIVATE (NOT FOR PROFIT),URBAN,YES,3636,100-199,1386687036,Sparks Health System,Community Health Systems (CHS),0
40019,FORREST CITY MEDICAL CENTER,1601 NEWCASTLE ROAD,FORREST CITY,AR,SOUTH,72335,99904,4,PRIVATE (FOR PROFIT),RURAL,NO,9746,100-199,1811912009,Quorum Health Corporation,Quorum Health Corporation,0
40020,ST BERNARDS MEDICAL CENTER,225 E WASHIINGTON AVENUE,JONESBORO,AR,SOUTH,72401,27860,27860,PRIVATE (NOT FOR PROFIT),URBAN,YES,9747,300-399,1922043686,St Bernards Healthcare,NA,0
40021,SOUTHWEST REGIONAL MEDICAL CENTER,11401 INTERSTATE 30,LITTLE ROCK,AR,SOUTH,72209,30780,30780,PRIVATE (FOR PROFIT),URBAN,NO,NA,100-199,NA,NA,NA,0
40024,ASHLEY COUNTY MEDICAL CENTER,1015 UNITY ROAD,CROSSETT,AR,SOUTH,71635,99904,4,PRIVATE (NOT FOR PROFIT),RURAL,NO,NA,000-099,NA,NA,NA,0
40025,CROSSRIDGE COMMUNITY HOSPITAL,310 SOUTH FALLS BOULEVARD,WYNNE,AR,SOUTH,72396,99904,4,CHURCH,RURAL,NO,NA,000-099,NA,NA,NA,0
40026,CHI ST. VINCENT HOSPITAL HOT SPRINGS,300 WERNER STREET,HOT SPRINGS,AR,SOUTH,71903,26300,26300,CHURCH,URBAN,YES,6651,200-299,1689628232,CHI St Vincent (St Vincent Health System),Catholic Health Initiatives (CHI),0
40027,BAXTER REGIONAL MEDICAL CENTER,624 HOSPITAL DRIVE,MOUNTAIN HOME,AR,SOUTH,72653,99904,4,PRIVATE (NOT FOR PROFIT),RURAL,NO,9755,200-299,1881788933,NA,NA,0
40028,BOONEVILLE COMMUNITY HOSPITAL,880 WEST MAIN,BOONEVILLE,AR,SOUTH,72927,99904,4,PRIVATE (NOT FOR PROFIT),RURAL,NO,NA,000-099,NA,NA,NA,0
40029,CONWAY REGIONAL HEALTH SYSTEM,2302 COLLEGE AVENUE,CONWAY,AR,SOUTH,72034,30780,30780,PRIVATE (NOT FOR PROFIT),URBAN,NO,11385,100-199,1497770424,Conway Regional Health System,Catholic Health Initiatives (CHI),0
40030,DARDANELLE HOSPITAL,200 NORTH THIRD STREET,DARDANELLE,AR,SOUTH,72834,99904,4,OTHER (SPECIFY),RURAL,NO,NA,000-099,NA,NA,NA,0
40032,LITTLE RIVER MEMORIAL HOSPITAL,451 WEST LOCKE STREET,ASHDOWN,AR,SOUTH,71822,45500,45500,LOCAL,URBAN,NO,NA,000-099,NA,NA,NA,0
40033,DERMOTT-CHICOT MEMORIAL HOSPITAL,700 W GAINES ST,DERMOTT,AR,SOUTH,71638,99904,4,OTHER (SPECIFY),RURAL,NO,NA,000-099,NA,NA,NA,0
40035,FULTON COUNTY HOSPITAL,679 NORTH MAIN STREET,SALEM,AR,SOUTH,72576,99904,4,LOCAL,RURAL,NO,NA,000-099,NA,NA,NA,0
40036,BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK,3333 SPRINGHILL DRIVE,NORTH LITTLE ROCK,AR,SOUTH,72117,30780,30780,PRIVATE (NOT FOR PROFIT),URBAN,YES,30469,200-299,1497790042,Baptist Health (AR),NA,0
40037,MEDICAL CENTER OF CALICO ROCK INC,GRASSE STREET,CALICO ROCK,AR,SOUTH,72519,99904,4,PRIVATE (FOR PROFIT),RURAL,NO,NA,000-099,NA,NA,NA,0
40039,ARKANSAS METHODIST MEDICAL CENTER,900 WEST KINGSHIGHWAY,PARAGOULD,AR,SOUTH,72450,99904,4,PRIVATE (NOT FOR PROFIT),RURAL,NO,8551,100-199,1437222312,NA,NA,0
40040,MERCY HOSPITAL OF SCOTT COUNTY,HIGHWAY 80 & 71 BYPASS,WALDRON,AR,SOUTH,72958,99904,4,CHURCH,RURAL,NO,NA,000-099,NA,NA,NA,0
40041,ST MARYS REGIONAL MEDICAL CENTER,1808 WEST MAIN STREET,RUSSELLVILLE,AR,SOUTH,72801,99904,4,PRIVATE (FOR PROFIT),RURAL,NO,6661,100-199,1033160049,RCCH HealthCare Partners (FKA RegionalCare Hospital Partners),RCCH HealthCare Partners (FKA RegionalCare Hospital Partners),0
40042,CRITTENDEN MEMORIAL HOSPITAL,200 TYLER,WEST MEMPHIS,AR,SOUTH,72301,32820,32820,PRIVATE (NOT FOR PROFIT),URBAN,YES,NA,100-199,NA,NA,NA,0
40043,WRMC GRAYS,477 E MAIN ST,BATESVILLE,AR,SOUTH,72501,99904,4,PRIVATE (NOT FOR PROFIT),RURAL,NO,NA,000-099,NA,NA,NA,0
40044,STONE COUNTY MEDICAL CENTER INC,HIGHWAY 14 EAST,MOUNTAIN VIEW,AR,SOUTH,72560,99904,4,PRIVATE (FOR PROFIT),RURAL,NO,NA,000-099,NA,NA,NA,0
40045,PIGGOTT COMMUNITY HOSPITAL,1206 GORDON DUCKWORTH DRIVE,PIGGOTT,AR,SOUTH,72454,99904,4,LOCAL,RURAL,NO,NA,000-099,NA,NA,NA,0
40047,FIVE RIVERS MEDICAL CENTER,2801 MEDICAL CENTER DRIVE,POCAHONTAS,AR,SOUTH,72455,99904,4,LOCAL,RURAL,NO,6659,000-099,1528360989,NA,NA,0
40048,BATES MEDICAL CENTER,602 NORTH WALTON BOULEVARD,BENTONVILLE,AR,SOUTH,72712,22220,22220,LOCAL,URBAN,NO,NA,000-099,NA,NA,NA,0
40050,OUACHITA COUNTY MEDICAL CENTER,638 CALIFORNIA AVENUE,CAMDEN,AR,SOUTH,71701,99904,4,PRIVATE (NOT FOR PROFIT),RURAL,NO,5479,000-099,1245284769,NA,NA,0
40051,DREW MEMORIAL HOSPITAL,778 SCOGIN DRIVE,MONTICELLO,AR,SOUTH,71655,99904,4,PRIVATE (NOT FOR PROFIT),RURAL,NO,6650,000-099,1023363348,NA,NA,0
40053,DELTA MEMORIAL HOSPITAL ASSOCIATION,300 EAST PICKENS,DUMAS,AR,SOUTH,71639,99904,4,PRIVATE (NOT FOR PROFIT),RURAL,NO,NA,000-099,NA,NA,NA,0
40054,NEWPORT HOSPITAL AND CLINIC,2000 MCLAIN STREEET,NEWPORT,AR,SOUTH,72112,99904,4,PRIVATE (FOR PROFIT),RURAL,NO,NA,000-099,NA,NA,NA,0
40055,BAPTIST HEALTH - FORT SMITH,1001 TOWSON AVENUE,FORT SMITH,AR,SOUTH,72901,22900,22900,PRIVATE (NOT FOR PROFIT),URBAN,YES,3635,400-499,1578555736,Sparks Health System,Community Health Systems (CHS),0
40058,MERCY HOSPITAL TURNER MEMORIAL,801 W RIVER STREET,OZARK,AR,SOUTH,72949,99904,99904,PRIVATE (NOT FOR PROFIT),URBAN,NO,NA,000-099,NA,NA,NA,0
40060,OZARK HEALTH,HWY 65 SOUTH,CLINTON,AR,SOUTH,72031,99904,4,PRIVATE (NOT FOR PROFIT),RURAL,NO,NA,000-099,NA,NA,NA,0
40062,MERCY HOSPITAL FORT SMITH,7301 ROGERS AVE,FORT SMITH,AR,SOUTH,72903,22900,22900,PRIVATE (NOT FOR PROFIT),URBAN,NO,6663,300-399,1568433480,Mercy (MO),Mercy (MO),0
40063,ST MICHAEL HOSPITAL OF TEXARKANA,SIXTH AND HAZEL STREETS PO BOX 1140,TEXARKANA,AR,SOUTH,75502,45500,45500,CHURCH,URBAN,NO,NA,200-299,NA,NA,NA,0
40064,DEWITT CITY HOSPITAL,1641 WHITEHEAD DRIVE,DE WITT,AR,SOUTH,72042,99904,4,LOCAL,RURAL,NO,NA,000-099,NA,NA,NA,0
40066,BAPTIST MED CTR ARKADELPHIA,3050 TWIN RIVERS DRIVE,ARKADELPHIA,AR,SOUTH,71923,99904,4,PRIVATE (NOT FOR PROFIT),RURAL,NO,NA,000-099,NA,NA,NA,0
40067,MAGNOLIA REGIONAL MEDICAL CENTER,101 HOSPITAL DRIVE,MAGNOLIA,AR,SOUTH,71753,99904,4,LOCAL,RURAL,NO,5481,000-099,1346248317,NA,NA,0
40068,LEE MEMORIAL HOSP,528 W CHESTNUT,MARIANNA,AR,SOUTH,72360,99904,4,LOCAL,RURAL,NO,NA,000-099,NA,NA,NA,0
40069,GREAT RIVER MEDICAL CENTER,1520 N DIVISION STREET,BLYTHEVILLE,AR,SOUTH,72315,99904,4,LOCAL,RURAL,NO,1280669,100-199,1316180748,Mississippi County Hospital System,NA,0
40070,BAPTIST MEMORIAL HOSPITAL OSCEOLA,611 WEST LEE AVENUE,OSCEOLA,AR,SOUTH,72370,99904,4,CHURCH,RURAL,NO,NA,000-099,NA,NA,NA,0
40071,JEFFERSON REGIONAL MEDICAL CENTER,1600 WEST 40TH AVENUE,PINE BLUFF,AR,SOUTH,71603,38220,38220,PRIVATE (NOT FOR PROFIT),URBAN,YES,3628,300-399,1710931985,LHC Group,LHC Group,0
40072,BAPTIST HEALTH MEDICAL CENTER-STUTTGART,1703 NORTH BUERKLE ST,STUTTGART,AR,SOUTH,72160,99904,4,PRIVATE (NOT FOR PROFIT),RURAL,NO,5483,000-099,1790773158,Baptist Health (AR),NA,0
40074,NORTH METRO MEDICAL CENTER,1400 BRADEN STREET,JACKSONVILLE,AR,SOUTH,72076,30780,30780,PRIVATE (FOR PROFIT),URBAN,NO,11771,100-199,1861451114,Allegiance Health Management,NA,0
40075,GRAVETTE MEDICAL CENTER,1101 JACKSON STREET SW,GRAVETTE,AR,SOUTH,72736,22220,22220,OTHER (SPECIFY),URBAN,NO,NA,000-099,NA,NA,NA,0
40076,BAPTIST HEALTH MEDICAL CENTER-HOT SPRINGS COUNTY,1001 SCHNEIDER DRIVE,MALVERN,AR,SOUTH,72104,99904,4,PRIVATE (NOT FOR PROFIT),RURAL,YES,9738,000-099,1902868391,Baptist Health (AR),NA,0
40077,BRADLEY COUNTY MEDICAL CENTER,404 SOUTH BRADLEY STREET,WARREN,AR,SOUTH,71671,99904,4,PRIVATE (NOT FOR PROFIT),RURAL,NO,NA,000-099,NA,NA,NA,0
40078,NATIONAL PARK MEDICAL CENTER,1910 MALVERN AVENUE,HOT SPRINGS,AR,SOUTH,71901,26300,26300,PRIVATE (FOR PROFIT),URBAN,NO,8662,100-199,1841241833,RCCH HealthCare Partners (FKA RegionalCare Hospital Partners),RCCH HealthCare Partners (FKA RegionalCare Hospital Partners),0
40080,UNITY HEALTH HARRIS MEDICAL CENTER,1205 MCLAIN STREET,NEWPORT,AR,SOUTH,72112,99904,4,PRIVATE (FOR PROFIT),RURAL,NO,6653,100-199,NA,NA,NA,0
40081,PIKE COUNTY HOSPITAL,315 E 13TH ST,MURFREESBORO,AR,SOUTH,71958,99904,4,LOCAL,RURAL,NO,NA,000-099,NA,NA,NA,0
40082,HOWARD MEMORAL HOSPITAL,800 WEST LESLIE,NASHVILLE,AR,SOUTH,71852,99904,4,PRIVATE (NOT FOR PROFIT),RURAL,NO,NA,000-099,NA,NA,NA,0
40084,SALINE MEMORIAL HOSPITAL,#1 MEDICAL PARK DRIVE,BENTON,AR,SOUTH,72015,30780,30780,PRIVATE (FOR PROFIT),URBAN,NO,9737,100-199,1235111071,RCCH HealthCare Partners (FKA RegionalCare Hospital Partners),RCCH HealthCare Partners (FKA RegionalCare Hospital Partners),0
40085,HELENA REGIONAL MEDICAL CENTER,1801 MARTIN LUTHER KING JR DRIVE,HELENA,AR,SOUTH,72342,99904,4,PRIVATE (FOR PROFIT),RURAL,NO,6657,100-199,1154392090,Quorum Health Corporation,Quorum Health Corporation,0
40087,LAFAYETTE CO MEMORIAL HOSP,1105 CHESTNUT,LEWISVILLE,AR,SOUTH,71845,99904,4,LOCAL,RURAL,NO,NA,000-099,NA,NA,NA,0
40088,MEDICAL CENTER OF SOUTH ARKANSAS,700 WEST GROVE STREET,EL DORADO,AR,SOUTH,71730,99904,4,PRIVATE (FOR PROFIT),RURAL,YES,5480,100-199,1689625568,Community Health Systems (CHS),Community Health Systems (CHS),0
40091,MEDICAL PARK HOSPITAL,2001 SOUTH MAIN STREET,HOPE,AR,SOUTH,71801,99904,4,PRIVATE (FOR PROFIT),RURAL,NO,NA,000-099,NA,NA,NA,0
40093,MCGEHEE DESHA COUNTY HOSPITAL,900 SOUTH THIRD ST,MCGEHEE,AR,SOUTH,71654,99904,4,LOCAL,RURAL,YES,NA,000-099,NA,NA,NA,0
40095,NEVADA COUNTY HOSPITAL,1467 WEST 1ST NORTH P O BOX 707,PRESCOTT,AR,SOUTH,71857,99904,4,LOCAL,RURAL,NO,NA,000-099,NA,NA,NA,0
40098,UNION MEDICAL CENTER,700 W GROVE ST,EL DORADO,AR,SOUTH,71730,99904,4,LOCAL,RURAL,YES,NA,100-199,NA,NA,NA,0
40100,WHITE COUNTY MEDICAL CENTER - NORTH CAMPUS,3214 EAST RACE AVENUE,SEARCY,AR,SOUTH,72143,99904,4,PRIVATE (NOT FOR PROFIT),RURAL,NO,NA,200-299,NA,NA,NA,0
40105,CHICOT MEMORIAL HOSPITAL,2729 HIGHWAY 65 AND 82 SOUTH,LAKE VILLAGE,AR,SOUTH,71653,99904,4,LOCAL,RURAL,NO,NA,000-099,NA,NA,NA,0
40106,BAPTIST HEALTH MED CEN HEBER SPRINGS,HIGHWAY 110 WEST,HEBER SPRINGS,AR,SOUTH,72543,99904,4,PRIVATE (NOT FOR PROFIT),RURAL,NO,NA,000-099,NA,NA,NA,0
40107,DE QUEEN REGIONAL MEDICAL CENTER,1306 WEST COLLIN RAYE DRIVE,DE QUEEN,AR,SOUTH,71832,99904,4,PRIVATE (NOT FOR PROFIT),RURAL,NO,NA,000-099,NA,NA,NA,0
40108,WOODRUFF COUNTY HOSPITAL,HWY 64 BOX 407,MCCRORY,AR,SOUTH,72101,99904,4,LOCAL,RURAL,NO,NA,000-099,NA,NA,NA,0
40109,ST JOHNS HOSPITAL BERRYVILLE,214 CARTER STREET,BERRYVILLE,AR,SOUTH,72616,99904,4,PRIVATE (NOT FOR PROFIT),RURAL,NO,NA,000-099,NA,NA,NA,0
40113,CALHOUN COUNTY HOSPITAL,403 SOUTH LEE STREET,HAMPTON,AR,SOUTH,71744,99904,4,LOCAL,RURAL,NO,NA,000-099,NA,NA,NA,0
40114,BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK,9601 INTERSTATE,LITTLE ROCK,AR,SOUTH,72205,30780,30780,PRIVATE (NOT FOR PROFIT),URBAN,YES,3632,500+,1043240682,Baptist Health (AR),NA,0
40115,BULL SHOALS COMM HOSPITAL & CLINIC,P O BOX 657,BULL SHOALS,AR,SOUTH,72619,99904,4,PRIVATE (FOR PROFIT),RURAL,NO,NA,000-099,NA,NA,NA,0
40116,COLUMBIA DOCTORS HOSPITAL,6101 WEST CAPITOL,LITTLE ROCK,AR,SOUTH,72205,30780,30780,PRIVATE (FOR PROFIT),URBAN,NO,NA,200-299,NA,NA,NA,0
40118,NEA BAPTIST MEMORIAL HOSPITAL,4800 EAST JOHNSON AVENUE,JONESBORO,AR,SOUTH,72401,99904,4,PRIVATE (NOT FOR PROFIT),RURAL,YES,5488,200-299,1386699353,Baptist Memorial Health Care Corporation,Baptist Memorial Health Care Corporation,0
40119,WHITE RIVER MEDICAL CENTER,1710 HARRISON STREET,BATESVILLE,AR,SOUTH,72503,99904,4,PRIVATE (NOT FOR PROFIT),RURAL,YES,9751,500+,1710943881,White River Health System,NA,0
40122,CORNING COMMUNITY HOSP,HOSP DR  POB 158,CORNING,AR,SOUTH,72422,99904,4,OTHER (SPECIFY),RURAL,NO,NA,000-099,NA,NA,NA,0
40123,BUFFALO ISLAND COMMUNITY HOSPITAL,912 DAVIS,MANILA,AR,SOUTH,72442,99904,4,PRIVATE (FOR PROFIT),RURAL,NO,NA,000-099,NA,NA,NA,0
40124,NORTH LOGAN MERCY HOSPITAL,500 EAST ACADEMY,PARIS,AR,SOUTH,72855,99904,4,CHURCH,RURAL,NO,NA,000-099,NA,NA,NA,0
40126,EASTERN OZARKS REG HEALTH SYSTEM,122 HOSPITAL DRIVE,CHEROKEE VILLAGE,AR,SOUTH,72529,99904,4,PRIVATE (FOR PROFIT),RURAL,NO,NA,000-099,NA,NA,NA,0
40127,ENGLAND HOSPITAL,516 NE 4TH ST,ENGLAND,AR,SOUTH,72046,30780,30780,PRIVATE (FOR PROFIT),URBAN,NO,NA,000-099,NA,NA,NA,0
40128,GURDON MUNICIPAL HOSPITAL,3RD AND WALNUT STS,GURDON,AR,SOUTH,71743,99904,4,PRIVATE (FOR PROFIT),RURAL,NO,NA,000-099,NA,NA,NA,0
40130,LEE MEMORIAL HOSPITAL,528 WEST CHESTNUT STREET,MARIANNA,AR,SOUTH,72360,99904,4,LOCAL,RURAL,NO,NA,000-099,NA,NA,NA,0
40131,BUFFALO ISLAND COMMUNITY HOSPITAL,912 N DAVIS,MANILA,AR,SOUTH,72442,99904,4,PRIVATE (FOR PROFIT),RURAL,NO,NA,000-099,NA,NA,NA,0
